"name","essround","edition","cntry","proddate","idno","psu","samppoin","stratify","prob","trrtort","agea","gndr","hinctnta","eduyrs","rlgdnm","rlgblg","lrscale"
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1854,1072042,NA,"10      ",0.000554478435,4,45,1,6,11,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1855,1072042,NA,"10      ",0.000554478435,4,66,2,3,19,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1856,1072042,NA,"10      ",0.000554478435,4,61,1,2,16,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1857,1060732,NA,"6       ",0.000516397382,5,60,1,6,18,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1858,1060732,NA,"6       ",0.000774596847,4,74,1,NA,12,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1859,1060732,NA,"6       ",0.000387298424,4,41,2,NA,14,5,1,7
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",186,1052261,NA,"10      ",0.000548429579,4,66,2,7,15,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1860,1069005,NA,"7       ",0.000415871202,2,54,2,2,15,0,2,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1861,1069005,NA,"7       ",0.000415871202,1,51,1,7,12,5,1,7
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1862,1060732,NA,"6       ",0.001549193695,4,26,1,NA,12,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1863,1060732,NA,"6       ",0.000774596847,3,29,1,NA,16,5,1,4
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1864,1069005,NA,"7       ",0.000623807427,1,48,1,NA,11,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1865,1069005,NA,"7       ",0.000623807427,1,89,1,NA,12,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1866,1069005,NA,"7       ",0.001247614854,2,80,1,2,8,5,1,NA
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1867,1069005,NA,"7       ",0.000623807427,2,70,1,1,14,1,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1868,1069005,NA,"7       ",0.000623807427,2,68,1,3,17,5,1,6
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1869,1069005,NA,"7       ",0.000623807427,NA,75,2,5,8,5,1,10
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",187,1052261,NA,"10      ",0.00027421479,4,24,2,NA,15,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1870,1060732,NA,"6       ",0.000774596847,2,31,2,8,16,5,1,7
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1871,1047002,NA,"8       ",0.000415484801,4,42,2,5,12,5,1,6
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1872,1047002,NA,"8       ",0.000830969603,2,25,1,3,13,5,1,7
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1873,1047002,NA,"8       ",0.000332387841,3,18,2,NA,12,5,1,8
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1874,1047002,NA,"8       ",0.000415484801,2,60,1,4,9,5,1,7
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1875,1060623,NA,"11      ",0.000209608025,5,46,2,9,12,5,1,9
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1876,1047002,NA,"8       ",0.000830969603,2,57,1,4,10,5,1,7
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1877,1047002,NA,"8       ",0.000415484801,2,58,1,4,15,5,1,5
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1878,1047002,NA,"8       ",0.000830969603,2,35,2,4,12,5,1,4
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",1879,1047002,NA,"8       ",0.000553979181,3,27,1,4,15,5,1,6
"ESS4e04_2   ",4,"4.2","IL","29.04.2014",188,1052261,NA,"10      ",0.00027421479,5,56,2,NA,20,5,1,8
