"","cntry","idno","psu","stratify","prob","agea","gndr","mnrgtjb","wmcpwrk"
"1705","FR",93,106027,"2                             ",0.000135205093,63,2,5,4
"1706","FR",931,131116,"2                             ",0.000135137424,45,2,4,1
"1707","FR",932,131116,"2                             ",6.7568712e-05,40,2,3,2
"1708","FR",933,131116,"2                             ",3.3784356e-05,18,2,5,2
"1709","FR",935,131116,"2                             ",6.7568712e-05,23,2,5,2
"1710","FR",936,131116,"2                             ",0.000135137424,60,1,4,2
"1711","FR",941,131169,"2                             ",6.7568644e-05,63,1,2,2
"1712","FR",942,131169,"2                             ",4.5045764e-05,55,2,5,3
"1713","FR",943,131169,"2                             ",6.7568644e-05,75,1,3,2
"1714","FR",945,131169,"2                             ",6.7568644e-05,42,2,3,3
"1715","FR",949,131169,"2                             ",6.7568644e-05,51,1,3,3
"1716","FR",95,106044,"2                             ",0.000135205042,66,2,3,3
"1717","FR",958,131555,"1                             ",0.000694557617,34,2,5,4
"1718","FR",965,131555,"1                             ",0.000694557617,29,1,5,3
"1719","FR",968,131555,"1                             ",0.000347278808,29,1,5,5
"1720","FR",969,131555,"1                             ",0.000231519213,25,1,5,3
"1721","FR",970,131555,"1                             ",0.000694557617,68,1,2,3
"1722","FR",975,131555,"1                             ",0.000347278808,69,2,2,2
"1723","FR",98,106044,"2                             ",0.000135205042,50,1,5,5
"1724","FR",982,131555,"1                             ",0.000347278808,25,2,4,4
"1725","FR",992,131555,"1                             ",0.000347278808,42,2,4,3
"1726","FR",995,132208,"2                             ",3.2069505e-05,49,2,2,4
"1727","FR",996,132208,"2                             ",6.4139011e-05,75,2,5,3
"1728","FR",997,132208,"2                             ",6.4139011e-05,55,2,5,2
